"id_productos";"id_categorias";"desc_productos"
2;1;"kreations_YI 06-L"
3;2;"kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free"
4;1;"Ego_UP0017-999-MR0"
5;2;"kcc_krone deal"
6;3;"BK7010400AG"
7;3;"UK_Namkino All In One 200 Gms"
8;3;"UK_Namkino Mix Nimco 400 Gms"
9;4;"Apple iPhone 6S 64GB"
11;3;"BK1070200PL"
12;3;"BK1130200CF"
13;6;"kcc_Sultanat"
14;2;"kcc_glamour deal"
15;7;"Assetmen_MD-346-M"
16;3;"cr_DATES WITH CASHEW-400 GM"
17;3;"UK_Gift Box Mix Dry Fruit Sweets 500 Gms"
18;2;"itter_AB 1199"
19;6;"RL_B005"
20;6;"bed&rest_S7"
21;6;"L&L_LLHLE8224S"
22;8;"J&J_JJR-4"
23;8;"J&J_JJR-20"
24;9;"D Lend a Helping Hand"
25;7;"Mochika_M0001112-12"
26;7;"Mochika_M0001112-8"
27;10;"SKMT_Blood Test"
28;10;"SKMT_Medicine"
29;7;"sputnik_701/5-11"
30;8;"Ctees-Black Zip- Up Hoodie-XL"
31;4;"Samsung Galaxy J5"
32;2;"Veet_4"
33;3;"RS_Gulab jaman Tin"
34;3;"cr_PEANUT SALTY-200 GM"
35;2;"Oriflame_21557"
36;6;"JBS_TAT-128"
37;7;"Ajmery_BRR-590-M"
38;2;"HOS_GUCFW75"
39;4;"Lexon_LL116B-Blue"
40;2;"kcc_Fantasy Perfumed Talcum Powder-200gm"
41;2;"2Zee_SC6"
42;4;"Q MOBILE Noir X20"
43;1;"rehaab_RJ160047"
44;1;"Farah_3-B"
45;3;"RS_Sohan Halwa Tin"
46;3;"UK_Soan Papdi Original 250 Gms"
47;3;"UK_Gift Box Soghaat 500 Gms"
48;3;"RS_Double Delight"
49;3;"Al Muhafiz Sohan Halwa Almond"
50;3;"UK_Gift Box Baklawa 500 Gms"
51;1;"sputnik_2146/6-8"
52;6;"kkc_Kingtox 450ml Classic Green All Insect Killer Spray"
53;3;"Al Muhafiz Sohan Halwa Walnut"
54;3;"RS_Honey Dry Fruit Halwa"
55;2;"itter_AB 1214"
56;11;"Eco Star_40U557"
57;5;"Orient_OR-6057 GX LGFD LV"
58;2;"HOS_JPGCW100"
59;6;"kkc_Jasmine King Air Freshener"
60;1;"asimjofaeanew_5A"
61;7;"ajmery_F9-981"
62;1;"hijabh_JILBAB-C (1)-52x"
63;6;"noritake_NTM163M"
64;3;"RS_Habshi Halwa Tin"
65;9;"sentiments_WRK1612"
66;7;"bata_comfit-8613714-43-9"
67;3;"UK_Namkino Mix Nimco 8 Pcs Gift Pack"
68;2;"Inoxy_Inoxy Hair Miracle Elixir"
69;3;"RS_Chum Chum Tin"
70;4;"Dany_AUK-650 "
71;9;"urban_ PT004-L"
72;5;"jackpot_JP-7999"
73;3;"UK_Gift Box Pistachio Delight 500 Gms"
74;9;"test_tcsconnect"
75;7;"sst_Lyquin-Regular fit-Large"
76;7;"Fcafe_11777-L"
77;2;"LC_359547105042"
78;2;"LC_3349668508587"
79;3;"RS_pheni Desi Ghee 1 kg "
80;3;"UK_Gulab Jamun Tin Pack 500 Gms"
81;3;"UK_Chum Chum Tin Pack  500 Gms"
82;3;"UK_Namkino Mix Nimco 200 Gms"
83;9;"sentiments_Ferrero Rocher Gift Box"
84;1;"EGO_E02377-SML-BG00-S"
85;7;"darzee_DP-234-B-Pink-15-M"
86;4;"Q MOBILE Noir W7"
87;3;"RS_Kaju Barfi"
88;3;"RS_cake rusk"
89;3;"HR_Bhel Puri 200g"
90;3;"UK_Gift Box Almond Delight 500 Gms"
91;3;"UK_Soan Papdi 500 Gms"
92;4;"Huawei Honor 4C"
93;7;"bata_comfit-8614096-41-7"
94;7;"bata_comfit-8614096-43-9"
95;3;"UK_Gift Box Baklawa 300 Gms"
96;3;"UK_Namkino Daal Moth Classic 160 Gms"
97;2;"kcc_Bold Pocket Perfume"
98;3;"UK_Cake Rusk Original 150 Gms"
99;2;"itter_AB 1207"
100;4;"Samsung Galaxy J7"
101;4;"Dany_AUK 55 "
102;5;"anex_2028"
103;2;"Atiqa_ACFP-01"
104;3;"UK_Soan Papdi Orange 250 Gms"
105;2;"kcc_Xtreme Classical Men Shower Gel"
106;3;"UK_Tea Rusk Regular 220 Gms"
107;2;"kcc_Glow"
108;7;"emo_HST-17030-B-M"
109;4;"Dany_Powerbank Pb- 41"
110;7;"Getiit_Joy"
111;7;"MYWALET_MW-012-BLACK"
112;5;"sstop_Mini AIr Conditioner"
113;4;"Huawei_Huawei B2 Talk Band"
114;3;"cr_DATES WITH CASHEW-200 GM"
115;3;"cr_DATES WITH WALNUT-200 GM"
116;4;"Xenium_TG-201653"
117;4;"Xenium_TG-2016132"
118;4;"Xenium_MBC-2016130"
119;1;"ESPICO_Sports Bra-Skin-Free size"
120;7;"PucaM_FLASH-BLACK-45"
121;4;"Huawei Y221"
122;1;"Rabia_1-A"
123;2;"kkc_Rose Oasis Prickly Heat Powder"
124;3;"cr_MUZAFTI IRANI (500GM)"
125;9;"test_tcsconnect1"
126;9;"Test Hazir Product 2-Karachi"
127;12;"Audionic_B-710"
128;4;"Haier M106"
129;1;"GBH-GL245-GOLD-7"
130;2;"itter_AB1263"
131;1;"GBH-GL226-PINK-8"
132;12;"sstop_3dcreenwithspeakers"
133;3;"UK_Namkino Khat Mitha Mix 400 Gms"
134;3;"UK_Sohan Halwa Tin Pack 400 Gms"
135;1;"bata_leena-5178202-38-5"
136;7;"KC_209 White-M"
137;5;"mm_AG-1038c"
138;13;"3m_DC272923871"
139;10;"MEGUIAR_G12711"
140;10;"MEGUIAR_G3503"
141;10;"MEGUIAR_X3070"
142;8;"BFk_Denim Jeans with Gallace for Boys |OF67-3-4 yrs"
143;3;"RS_Soan Papri-250gm"
144;2;"kcc_lush"
145;3;"HR_Pani Puri 360g"
146;2;"kcc_active"
147;2;"kcc_Xtreme Mantastic Men Shower Gels"
148;14;"Rajesh_RAJ033"
149;7;"ajmery_AJ-123-L"
150;5;"mitsubishi_1.5 ton SRC 18CLK"
151;4;"Dany_Genius Tab G7 Metallica "
152;1;"bata_leena-6618940-39-6"
153;5;"gree_12CZ8"
154;1;"Teenz_B-0541"
155;7;"Emo_SS-22057-11"
156;2;"sapil_Sapil Disclosure Men 100ML"
157;7;"MYWALET_MW-002-D-BROWN"
158;2;"kcc_Bakheer Pocket Perfume"
159;2;"kcc_Oudh Pocket Perfume"
160;2;"kcc_Asool Pocket Perfume"
161;2;"Veet_3"
162;2;"itter_AB 1141"
163;2;"Veet_5"
164;7;"sst_Logic  3-Regular fit-Medium"
165;6;"kkc_Hayam King Air Freshener"
166;2;"sapil_Sapil Passion Women 200ML"
167;7;"Dynasty_Classic Cotton-Skin"
168;9;"WE_ni72_parrot-veet-gift"
169;9;"cos_prfume_9"
170;8;"Trans_LW 509B "
171;2;"LC_3595471021182"
172;1;"shoppingmania_18k Gold Filled Blue Ruby Necklace & Earrings"
173;1;"Teenz_R-0172-7"
174;2;"HOS_RLRW100"
175;1;"AKL_A131131293_FC-12"
176;7;"MYWALET_MW-014-BLACK"
177;1;"Xenium_WA-201611"
178;6;"pak_B-32"
179;4;"rub_Rubian_VR-Box With Remote"
180;2;"kkc_ Icy Menthol Oasis Prickly Heat Powder"
181;1;"shoppingmania_Enamel Retro NecklaceTitanic Heart Crystal Pendant"
182;9;"Teenz_E-1574 silver"
183;7;"emo_HSP-17043-M"
184;7;"Emo_HST-28676-L"
