"id_ventas";"id_estados";"id_productos";"id_tipospago";"orden";"fecha_venta";"cantidad_ordenada";"precio";"descuento";"total"
211131;1;2;1;100147443;"7/1/2016";1;1950;0;1950
211133;2;3;1;100147444;"7/1/2016";1;240;0;240
211134;2;4;1;100147445;"7/1/2016";1;2450;0;2450
211135;1;5;1;100147446;"7/1/2016";1;360;300;60
211136;3;6;1;100147447;"7/1/2016";2;555;0;1110
211137;2;7;1;100147448;"7/1/2016";1;80;0;80
211138;1;5;1;100147449;"7/1/2016";1;360;300;60
211139;1;8;1;100147450;"7/1/2016";1;170;0;170
211140;2;9;2;100147451;"7/1/2016";1;96499;0;96499
211141;2;9;3;100147452;"7/1/2016";1;96499;0;96499
211143;4;11;1;100147454;"7/1/2016";1;210;0;366
211144;4;12;1;100147454;"7/1/2016";1;156;0;366
211145;1;13;2;100147455;"7/1/2016";1;120;0;120
211146;1;14;4;100147456;"7/1/2016";1;320;0;0
211147;2;15;2;100147457;"7/1/2016";1;1550;0;1550
211149;1;16;1;100147458;"7/1/2016";1;420;0;1270
211150;1;17;1;100147458;"7/1/2016";1;360;0;1270
211151;1;18;1;100147458;"7/1/2016";1;490;0;1270
211152;2;19;1;100147459;"7/1/2016";1;899;0;2118
211153;2;20;1;100147459;"7/1/2016";1;899;0;2118
211154;2;21;1;100147459;"7/1/2016";1;320;0;2118
211155;1;22;1;100147460;"7/1/2016";1;149;0;298
211156;1;23;1;100147460;"7/1/2016";1;149;0;298
211157;3;24;4;100147461;"7/1/2016";1;1000;0;0
211158;3;25;1;100147462;"7/1/2016";1;1913;0;3826
211160;3;26;1;100147462;"7/1/2016";1;1913;0;3826
211162;1;27;4;100147463;"7/1/2016";1;500;0;0
211163;1;28;4;100147463;"7/1/2016";5;100;0;0
211164;2;29;1;100147464;"7/1/2016";2;1500;0;3000
211166;1;30;1;100147465;"7/1/2016";1;450;0;450
211168;1;31;1;100147466;"7/1/2016";1;20999;0;20999
211169;1;5;1;100147467;"7/1/2016";1;360;0;360
211170;5;32;1;100147468;"7/1/2016";1;165;83;300
211171;5;33;1;100147468;"7/1/2016";1;435;218;300
211172;2;34;1;100147469;"7/1/2016";1;90;0;940
211173;2;35;1;100147469;"7/1/2016";1;850;0;940
211174;1;36;1;100147470;"7/1/2016";1;3672;0;3672
